Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp
12024,msedge.exe,IPv4,TCP,ESTAB,192.168.170.64,41276,8.8.4.4,443,2026-04-01T10:42:50Z
19752,ms-teams.exe,IPv4,TCP,ESTAB,192.168.170.64,42278,52.123.128.14,443,2026-04-01T10:55:42Z
26468,ms-teams.exe,IPv4,TCP,ESTAB,192.168.170.64,42279,52.123.128.14,443,2026-04-01T10:55:42Z
8168,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,43821,127.0.0.1,8000,2026-04-01T10:42:54Z
8168,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,43822,127.0.0.1,8000,2026-04-01T10:42:54Z
15884,chrome.exe,IPv4,TCP,ESTAB,192.168.170.64,46206,142.250.193.78,443,2026-04-01T10:55:48Z
15884,chrome.exe,IPv4,TCP,ESTAB,192.168.170.64,48729,142.250.183.3,443,2026-04-01T10:55:47Z
4452,svchost.exe,IPv4,TCP,ESTAB,192.168.170.64,49415,4.213.25.241,443,2026-04-01T07:54:53Z
1488,lsass.exe,IPv4,TCP,LISTEN,0.0.0.0,49664,0.0.0.0,0,2026-03-31T16:00:18Z
1308,wininit.exe,IPv4,TCP,LISTEN,0.0.0.0,49665,0.0.0.0,0,2026-03-31T16:00:18Z
2920,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49666,0.0.0.0,0,2026-03-31T16:00:18Z
3064,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49667,0.0.0.0,0,2026-03-31T16:00:18Z
4040,spoolsv.exe,IPv4,TCP,LISTEN,0.0.0.0,49668,0.0.0.0,0,2026-03-31T16:00:19Z
5360,mysqld.exe,IPv4,TCP,ESTAB,127.0.0.1,49669,127.0.0.1,49670,2026-03-31T16:00:21Z
5360,mysqld.exe,IPv4,TCP,ESTAB,127.0.0.1,49670,127.0.0.1,49669,2026-03-31T16:00:21Z
5360,mysqld.exe,IPv4,TCP,ESTAB,127.0.0.1,49671,127.0.0.1,49672,2026-03-31T16:00:21Z
5360,mysqld.exe,IPv4,TCP,ESTAB,127.0.0.1,49672,127.0.0.1,49671,2026-03-31T16:00:21Z
1436,services.exe,IPv4,TCP,LISTEN,0.0.0.0,49673,0.0.0.0,0,2026-03-31T16:00:25Z
0,,IPv4,TCP,TIME_WAIT,192.168.170.64,50773,13.69.116.105,443,1601-01-01T00:00:00Z
19752,ms-teams.exe,IPv4,TCP,ESTAB,192.168.170.64,53605,104.215.40.100,443,2026-04-01T07:55:52Z
15968,OneDrive.exe,IPv4,TCP,ESTAB,192.168.170.64,53672,4.213.25.241,443,2026-04-01T07:55:12Z
12024,msedge.exe,IPv4,TCP,ESTAB,192.168.170.64,57344,52.182.143.215,443,2026-04-01T10:42:58Z
